n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
10, 5, NAN, 1923.00kb, 0.000009sec, RES=1404kb, VmSize=4000kb, 0.001225sec, 63, 745
11, 5, NAN, 1923.00kb, 0.000009sec, RES=1404kb, VmSize=159724kb, 0.000201sec, 88, 1769
12, 5, NAN, 1923.00kb, 0.000006sec, RES=1404kb, VmSize=159724kb, 0.000107sec, 212, 2148
12, 6, NAN, 1926.00kb, 0.000014sec, RES=1404kb, VmSize=159724kb, 0.000106sec, 56, 3103
13, 5, NAN, 1923.00kb, 0.000007sec, RES=1404kb, VmSize=159724kb, 0.000099sec, 282, 2148
13, 6, NAN, 1926.00kb, 0.000013sec, RES=1404kb, VmSize=159724kb, 0.000106sec, 245, 2148
14, 5, NAN, 1923.00kb, 0.000007sec, RES=1404kb, VmSize=159724kb, 0.000115sec, 498, 6334
14, 6, NAN, 1926.00kb, 0.000014sec, RES=1404kb, VmSize=159724kb, 0.000107sec, 294, 9002
14, 7, NAN, 1932.00kb, 0.000027sec, RES=1404kb, VmSize=159724kb, 0.000117sec, 241, 15083
15, 5, NAN, 1923.00kb, 0.000007sec, RES=1404kb, VmSize=159724kb, 0.000144sec, 513, 6334
15, 6, NAN, 1926.00kb, 0.000015sec, RES=1404kb, VmSize=159724kb, 0.000308sec, 581, 6334
15, 7, NAN, 1932.00kb, 0.000006sec, RES=1404kb, VmSize=159724kb, 0.000164sec, 197, 15083
16, 5, NAN, 1923.00kb, 0.000002sec, RES=1404kb, VmSize=159724kb, 0.000201sec, 1680, 62208
16, 6, NAN, 1926.00kb, 0.000003sec, RES=1404kb, VmSize=159724kb, 0.000026sec, 1091, 47122
16, 7, NAN, 1932.00kb, 0.000006sec, RES=1404kb, VmSize=159724kb, 0.000029sec, 216, 15083
16, 8, NAN, 1943.00kb, 0.000013sec, RES=1404kb, VmSize=159724kb, 0.000028sec, 200, 15083
17, 5, NAN, 1923.00kb, 0.000001sec, RES=1404kb, VmSize=159724kb, 0.000023sec, 1680, 62208
17, 6, NAN, 1926.00kb, 0.000003sec, RES=1404kb, VmSize=159724kb, 0.000026sec, 1660, 62208
17, 7, NAN, 1932.00kb, 0.000006sec, RES=1404kb, VmSize=159724kb, 0.000029sec, 1244, 62229
17, 8, NAN, 1943.00kb, 0.000013sec, RES=1404kb, VmSize=159724kb, 0.000036sec, 697, 127408
18, 5, NAN, 1923.00kb, 0.000002sec, RES=1404kb, VmSize=159724kb, 0.000029sec, 3227, 234813
18, 6, NAN, 1926.00kb, 0.000003sec, RES=1404kb, VmSize=159724kb, 0.000030sec, 3259, 234813
18, 7, NAN, 1932.00kb, 0.000007sec, RES=1404kb, VmSize=159724kb, 0.000029sec, 1274, 62229
18, 8, NAN, 1943.00kb, 0.000013sec, RES=1404kb, VmSize=159724kb, 0.000040sec, 3325, 234813
18, 9, NAN, 1966.00kb, 0.000025sec, RES=1404kb, VmSize=159724kb, 0.000489sec, 1068, 158481
19, 5, NAN, 1923.00kb, 0.000002sec, RES=1404kb, VmSize=159724kb, 0.000132sec, 36423, 455424
19, 6, NAN, 1926.00kb, 0.000003sec, RES=1404kb, VmSize=159724kb, 0.000081sec, 17278, 42988
19, 7, NAN, 1932.00kb, 0.000006sec, RES=1404kb, VmSize=159724kb, 0.000027sec, 1303, 62229
19, 8, NAN, 1943.00kb, 0.000013sec, RES=1404kb, VmSize=159724kb, 0.000035sec, 1283, 62229
19, 9, NAN, 1966.00kb, 0.000025sec, RES=1404kb, VmSize=159724kb, 0.000051sec, 1232, 62229
20, 5, NAN, 1923.00kb, 0.000002sec, RES=1404kb, VmSize=159724kb, 0.000608sec, 183985, 665056
20, 6, NAN, 1926.00kb, 0.000003sec, RES=1404kb, VmSize=159724kb, 0.000161sec, 39000, 567276
20, 7, NAN, 1932.00kb, 0.000007sec, RES=1404kb, VmSize=159724kb, 0.000079sec, 15337, 281037
20, 8, NAN, 1943.00kb, 0.000013sec, RES=1404kb, VmSize=159724kb, 0.000081sec, 14947, 281037
20, 9, NAN, 1966.00kb, 0.000025sec, RES=1404kb, VmSize=159724kb, 0.000068sec, 7185, 189658
20, 10, NAN, 2012.00kb, 0.000050sec, RES=1404kb, VmSize=159724kb, 0.000072sec, 480, 902263
