n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack #random_message
20, 5, NAN, 3kb, 0.000009sec, RES=1348kb, VmSize=3700kb, 0.021789sec, 46557
20, 6, NAN, 7kb, 0.000023sec, RES=1348kb, VmSize=3700kb, 0.005866sec, 12036
20, 7, NAN, 14kb, 0.000038sec, RES=1348kb, VmSize=3700kb, 0.001275sec, 2600
20, 8, NAN, 28kb, 0.000066sec, RES=1348kb, VmSize=3700kb, 0.001907sec, 3930
20, 9, NAN, 57kb, 0.000104sec, RES=1348kb, VmSize=3700kb, 0.000104, 0
20, 10, NAN, 114kb, 0.000102sec, RES=1348kb, VmSize=3876kb, 0.000102, 0
21, 5, NAN, 3kb, 0.000009sec, RES=1348kb, VmSize=3876kb, 0.002686sec, 5754
21, 6, NAN, 7kb, 0.000018sec, RES=1348kb, VmSize=3876kb, 0.012233sec, 26354
21, 7, NAN, 14kb, 0.000035sec, RES=1348kb, VmSize=3876kb, 0.004304sec, 9175
21, 8, NAN, 28kb, 0.000066sec, RES=1348kb, VmSize=3876kb, 0.007930sec, 16836
21, 9, NAN, 57kb, 0.000135sec, RES=2320kb, VmSize=3876kb, 0.006328sec, 13311
21, 10, NAN, 114kb, 0.000296sec, RES=2320kb, VmSize=3876kb, 0.002170sec, 4015
22, 5, NAN, 3kb, 0.000009sec, RES=2320kb, VmSize=3876kb, 0.008426sec, 18188
22, 6, NAN, 7kb, 0.000017sec, RES=2320kb, VmSize=3876kb, 0.003482sec, 7457
22, 7, NAN, 14kb, 0.000034sec, RES=2320kb, VmSize=3876kb, 0.002823sec, 5980
22, 8, NAN, 28kb, 0.000063sec, RES=2320kb, VmSize=3876kb, 0.005461sec, 11589
22, 9, NAN, 57kb, 0.000126sec, RES=2320kb, VmSize=3876kb, 0.000920sec, 1680
22, 10, NAN, 114kb, 0.000250sec, RES=2320kb, VmSize=3876kb, 0.000639sec, 807
23, 5, NAN, 3kb, 0.000009sec, RES=2320kb, VmSize=3876kb, 0.204214sec, 441142
23, 6, NAN, 7kb, 0.000016sec, RES=2320kb, VmSize=3876kb, 0.045831sec, 99543
23, 7, NAN, 14kb, 0.000033sec, RES=2320kb, VmSize=3876kb, 0.010931sec, 23559
23, 8, NAN, 28kb, 0.000062sec, RES=2320kb, VmSize=3876kb, 0.000456sec, 813
23, 9, NAN, 57kb, 0.000127sec, RES=2320kb, VmSize=3876kb, 0.003714sec, 7730
23, 10, NAN, 114kb, 0.000255sec, RES=2320kb, VmSize=3876kb, 0.010519sec, 22128
24, 5, NAN, 3kb, 0.000010sec, RES=2320kb, VmSize=3876kb, 0.007750sec, 16731
24, 6, NAN, 7kb, 0.000016sec, RES=2320kb, VmSize=3876kb, 0.027088sec, 58722
24, 7, NAN, 14kb, 0.000032sec, RES=2320kb, VmSize=3876kb, 0.018233sec, 39518
24, 8, NAN, 28kb, 0.000066sec, RES=2320kb, VmSize=3876kb, 0.028369sec, 61353
24, 9, NAN, 57kb, 0.000126sec, RES=2320kb, VmSize=3876kb, 0.002055sec, 4130
24, 10, NAN, 114kb, 0.000250sec, RES=2320kb, VmSize=3876kb, 0.007173sec, 14926
25, 5, NAN, 3kb, 0.000009sec, RES=2320kb, VmSize=3876kb, 0.284807sec, 616224
25, 6, NAN, 7kb, 0.000019sec, RES=2320kb, VmSize=3876kb, 0.181914sec, 392369
25, 7, NAN, 14kb, 0.000038sec, RES=2320kb, VmSize=3876kb, 0.036521sec, 79077
25, 8, NAN, 28kb, 0.000064sec, RES=2320kb, VmSize=3876kb, 0.102770sec, 222290
25, 9, NAN, 57kb, 0.000131sec, RES=2320kb, VmSize=3876kb, 0.038017sec, 81925
25, 10, NAN, 114kb, 0.000254sec, RES=2320kb, VmSize=3876kb, 0.006489sec, 13414
