n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack #random_message
2, 1, NAN, 0.14kb, 0.000004sec, RES=1312kb, VmSize=3700kb, 0.000109sec, 4
3, 1, NAN, 0.14kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.000039sec, 0
4, 1, NAN, 0.14kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.000051sec, 9
4, 2, NAN, 0.21kb, 0.000004sec, RES=1312kb, VmSize=3700kb, 0.000030sec, 0
5, 1, NAN, 0.14kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.000319sec, 123
5, 2, NAN, 0.21kb, 0.000004sec, RES=1312kb, VmSize=3700kb, 0.000058sec, 14
6, 1, NAN, 0.14kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.000076sec, 23
6, 2, NAN, 0.21kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.000125sec, 46
6, 3, NAN, 0.34kb, 0.000007sec, RES=1312kb, VmSize=3700kb, 0.000034sec, 2
7, 1, NAN, 0.14kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.000864sec, 382
7, 2, NAN, 0.21kb, 0.000004sec, RES=1312kb, VmSize=3700kb, 0.000104sec, 31
7, 3, NAN, 0.34kb, 0.000009sec, RES=1312kb, VmSize=3700kb, 0.000042sec, 3
8, 1, NAN, 0.14kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.000459sec, 177
8, 2, NAN, 0.21kb, 0.000004sec, RES=1312kb, VmSize=3700kb, 0.000511sec, 181
8, 3, NAN, 0.34kb, 0.000009sec, RES=1312kb, VmSize=3700kb, 0.000062sec, 9
8, 4, NAN, 0.59kb, 0.000018sec, RES=1312kb, VmSize=3700kb, 0.000145sec, 37
9, 1, NAN, 0.14kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.000630sec, 520
9, 2, NAN, 0.21kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 0.000035sec, 57
9, 3, NAN, 0.34kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.000039sec, 56
9, 4, NAN, 0.59kb, 0.000004sec, RES=1312kb, VmSize=3700kb, 0.000030sec, 39
10, 1, NAN, 0.14kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.000619sec, 1278
10, 2, NAN, 0.21kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 0.000011sec, 12
10, 3, NAN, 0.34kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.000042sec, 74
10, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.000029sec, 42
10, 5, NAN, 1.10kb, 0.000007sec, RES=1312kb, VmSize=3700kb, 0.000038sec, 52
11, 1, NAN, 0.14kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.001637sec, 3379
11, 2, NAN, 0.21kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.000020sec, 27
11, 3, NAN, 0.34kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.000024sec, 34
11, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.000067sec, 122
11, 5, NAN, 1.10kb, 0.000006sec, RES=1312kb, VmSize=3700kb, 0.000022sec, 20
12, 1, NAN, 0.14kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.000528sec, 1094
12, 2, NAN, 0.21kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.000012sec, 12
12, 3, NAN, 0.34kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.000738sec, 1559
12, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.000098sec, 195
12, 5, NAN, 1.10kb, 0.000007sec, RES=1312kb, VmSize=3700kb, 0.000097sec, 179
12, 6, NAN, 2.13kb, 0.000013sec, RES=1312kb, VmSize=3700kb, 0.000069sec, 105
13, 1, NAN, 0.14kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 0.002543sec, 5496
13, 2, NAN, 0.21kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 0.000917sec, 1980
13, 3, NAN, 0.34kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.000638sec, 1348
13, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.000022sec, 30
13, 5, NAN, 1.10kb, 0.000006sec, RES=1312kb, VmSize=3700kb, 0.000059sec, 103
13, 6, NAN, 2.13kb, 0.000013sec, RES=1312kb, VmSize=3700kb, 0.000055sec, 80
14, 1, NAN, 0.14kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 0.001333sec, 2880
14, 2, NAN, 0.21kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.001307sec, 2829
14, 3, NAN, 0.34kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.000327sec, 698
14, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.000746sec, 1571
14, 5, NAN, 1.10kb, 0.000006sec, RES=1312kb, VmSize=3700kb, 0.000940sec, 1989
14, 6, NAN, 2.13kb, 0.000013sec, RES=1312kb, VmSize=3700kb, 0.000206sec, 404
14, 7, NAN, 4.18kb, 0.000025sec, RES=1312kb, VmSize=3700kb, 0.000058sec, 56
15, 1, NAN, 0.14kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 0.000968sec, 2091
15, 2, NAN, 0.21kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 0.011919sec, 25820
15, 3, NAN, 0.34kb, 0.000002sec, RES=1312kb, VmSize=3700kb, 0.002645sec, 5723
15, 4, NAN, 0.59kb, 0.000003sec, RES=1312kb, VmSize=3700kb, 0.000045sec, 81
15, 5, NAN, 1.10kb, 0.000007sec, RES=1312kb, VmSize=3700kb, 0.000734sec, 1532
15, 6, NAN, 2.13kb, 0.000012sec, RES=1312kb, VmSize=3700kb, 0.000259sec, 523
15, 7, NAN, 4.18kb, 0.000025sec, RES=1312kb, VmSize=3700kb, 0.000057sec, 55
16, 1, NAN, 0.14kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 0.041066sec, 89307
16, 2, NAN, 0.21kb, 0.000000sec, RES=1312kb, VmSize=3700kb, 0.013398sec, 29325
16, 3, NAN, 0.34kb, 0.000001sec, RES=1312kb, VmSize=3700kb, 0.006517sec, 14156
