n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack #random_message
2, 1, NAN, 0kb, 0.000006sec, RES=1324kb, VmSize=3700kb, 0.000120sec, 3
3, 1, NAN, 0kb, 0.000004sec, RES=1324kb, VmSize=3700kb, 0.000070sec, 1
3, 2, NAN, 0kb, 0.000006sec, RES=1324kb, VmSize=3700kb, -1sec, 0
4, 1, NAN, 0kb, 0.000003sec, RES=1324kb, VmSize=3700kb, 0.000046sec, 7
4, 2, NAN, 0kb, 0.000010sec, RES=1324kb, VmSize=3700kb, 0.000042sec, 2
4, 3, NAN, 0kb, 0.000008sec, RES=1324kb, VmSize=3700kb, -1sec, 0
5, 1, NAN, 0kb, 0.000003sec, RES=1324kb, VmSize=3700kb, 0.000082sec, 22
5, 2, NAN, 0kb, 0.000006sec, RES=1324kb, VmSize=3700kb, 0.000036sec, 1
5, 3, NAN, 0kb, 0.000010sec, RES=1324kb, VmSize=3700kb, -1sec, 0
5, 4, NAN, 1kb, 0.000013sec, RES=1324kb, VmSize=3700kb, -1sec, 0
6, 1, NAN, 0kb, 0.000004sec, RES=1324kb, VmSize=3700kb, 0.000123sec, 38
6, 2, NAN, 0kb, 0.000006sec, RES=1324kb, VmSize=3700kb, 0.000034sec, 1
6, 3, NAN, 0kb, 0.000012sec, RES=1324kb, VmSize=3700kb, 0.000077sec, 16
6, 4, NAN, 1kb, 0.000024sec, RES=1324kb, VmSize=3700kb, 0.000074sec, 10
6, 5, NAN, 3kb, 0.000029sec, RES=1324kb, VmSize=3700kb, -1sec, 0
7, 1, NAN, 0kb, 0.000004sec, RES=1324kb, VmSize=3700kb, 0.000079sec, 21
7, 2, NAN, 0kb, 0.000005sec, RES=1324kb, VmSize=3700kb, 0.000040sec, 5
7, 3, NAN, 0kb, 0.000011sec, RES=1324kb, VmSize=3700kb, 0.000131sec, 45
7, 4, NAN, 1kb, 0.000016sec, RES=1324kb, VmSize=3700kb, -1sec, 0
7, 5, NAN, 3kb, 0.000017sec, RES=1324kb, VmSize=3700kb, -1sec, 0
7, 6, NAN, 7kb, 0.000015sec, RES=1324kb, VmSize=3700kb, -1sec, 0
8, 1, NAN, 0kb, 0.000003sec, RES=1324kb, VmSize=3700kb, 0.000274sec, 116
8, 2, NAN, 0kb, 0.000006sec, RES=1324kb, VmSize=3700kb, 0.000028sec, 0
8, 3, NAN, 0kb, 0.000014sec, RES=1324kb, VmSize=3700kb, 0.000076sec, 18
8, 4, NAN, 1kb, 0.000022sec, RES=1324kb, VmSize=3700kb, 0.000080sec, 16
8, 5, NAN, 3kb, 0.000036sec, RES=1324kb, VmSize=3700kb, -1sec, 0
8, 6, NAN, 7kb, 0.000052sec, RES=1324kb, VmSize=3700kb, -1sec, 0
8, 7, NAN, 14kb, 0.000043sec, RES=1324kb, VmSize=3700kb, -1sec, 0
9, 1, NAN, 0kb, 0.000003sec, RES=1324kb, VmSize=3700kb, 0.000667sec, 326
