n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
8, 4, NAN, 0.00kb, 0.000006sec, RES=1388kb, VmSize=3992kb, 0.026365sec, 49, 1
9, 4, NAN, 0.00kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.026068sec, 173, 6
10, 4, NAN, 0.00kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.013747sec, 174, 1
10, 5, NAN, 0.00kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.022857sec, 33, 20
11, 4, NAN, 0.00kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.026323sec, 101, 11
11, 5, NAN, 0.00kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.021505sec, 34, 29
12, 4, NAN, 0.00kb, 0.000005sec, RES=1388kb, VmSize=190040kb, 0.026108sec, 571, 13
12, 5, NAN, 0.00kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.025754sec, 91, 11
12, 6, NAN, 0.00kb, 0.000005sec, RES=1388kb, VmSize=190040kb, 0.026088sec, 241, 51
13, 4, NAN, 0.00kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.025817sec, 72, 8
13, 5, NAN, 0.00kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.026139sec, 1310, 20
13, 6, NAN, 0.00kb, 0.000005sec, RES=1388kb, VmSize=190040kb, 0.025768sec, 518, 16
14, 4, NAN, 0.00kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.026154sec, 617, 9
14, 5, NAN, 0.00kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.025751sec, 158, 6
14, 6, NAN, 0.00kb, 0.000005sec, RES=1388kb, VmSize=190040kb, 0.026144sec, 253, 13
14, 7, NAN, 0.00kb, 0.000010sec, RES=1388kb, VmSize=190040kb, 0.025758sec, 153, 4
15, 4, NAN, 0.00kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.026142sec, 207, 6
15, 5, NAN, 0.00kb, 0.000004sec, RES=1388kb, VmSize=190040kb, 0.025757sec, 1291, 7
15, 6, NAN, 0.00kb, 0.000005sec, RES=1388kb, VmSize=190040kb, 0.026138sec, 203, 53
15, 7, NAN, 0.00kb, 0.000012sec, RES=1388kb, VmSize=190040kb, 0.014800sec, 149, 38
16, 4, NAN, 0.00kb, 0.000002sec, RES=1388kb, VmSize=190040kb, 0.026113sec, 148, 1
16, 5, NAN, 0.00kb, 0.000004sec, RES=1388kb, VmSize=190040kb, 0.004609sec, 465, 1
16, 6, NAN, 0.00kb, 0.000005sec, RES=1388kb, VmSize=190040kb, 0.034277sec, 119, 13
16, 7, NAN, 0.00kb, 0.000009sec, RES=1388kb, VmSize=190040kb, 0.013184sec, 166, 6
16, 8, NAN, 0.00kb, 0.000017sec, RES=1388kb, VmSize=190040kb, 0.026123sec, 252, 112
17, 4, NAN, 0.00kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.026035sec, 3525, 14
17, 5, NAN, 0.00kb, 0.000004sec, RES=1388kb, VmSize=190040kb, 0.026169sec, 672, 10
17, 6, NAN, 0.00kb, 0.000008sec, RES=1388kb, VmSize=190040kb, 0.025710sec, 5334, 51
17, 7, NAN, 0.00kb, 0.000010sec, RES=1388kb, VmSize=190040kb, 0.026136sec, 821, 80
17, 8, NAN, 0.00kb, 0.000017sec, RES=1388kb, VmSize=190040kb, 0.025773sec, 285, 195
18, 4, NAN, 0.00kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.027015sec, 32502, 8
18, 5, NAN, 0.00kb, 0.000003sec, RES=1388kb, VmSize=190040kb, 0.026533sec, 6608, 31
18, 6, NAN, 0.00kb, 0.000004sec, RES=1388kb, VmSize=190040kb, 0.013274sec, 284, 26
18, 7, NAN, 0.00kb, 0.000009sec, RES=1388kb, VmSize=190040kb, 0.024985sec, 2088, 23
