n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
2, 1, NAN, 0.18kb, 0.000001sec, RES=1388kb, VmSize=3992kb, 0.000001, 0, 1 cycle
3, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=3992kb, 0.005975sec, 0, 1
4, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.001016sec, 0, 1
4, 2, NAN, 0.27kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000233sec, 0, 3
5, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000027sec, 0, 1
5, 2, NAN, 0.27kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000022sec, 0, 3
6, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000020sec, 0, 1
6, 2, NAN, 0.27kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000021sec, 0, 3
6, 3, NAN, 0.46kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000022sec, 0, 7
7, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000020sec, 0, 1
7, 2, NAN, 0.27kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.006618sec, 0, 3
7, 3, NAN, 0.46kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000049sec, 0, 7
8, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000033sec, 0, 1
8, 2, NAN, 0.27kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000030sec, 0, 3
8, 3, NAN, 0.46kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000028sec, 0, 7
8, 4, NAN, 0.85kb, 0.000001sec, RES=1388kb, VmSize=190040kb, 0.000030sec, 0, 15
9, 1, NAN, 0.18kb, 0.000000sec, RES=1388kb, VmSize=190040kb, 0.000025sec, 0, 1
