n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack #random_message
63, 29, NAN, 17179869.26kb, 211.164560sec, RES=16779712kb, VmSize=16781212kb, 1439.437170sec, 21247582056
64, 29, NAN, 17179869.26kb, 218.621263sec, RES=16779980kb, VmSize=16936936kb, 768.450102sec, 10449775618
65, 29, NAN, 17179869.26kb, 200.744870sec, RES=16779980kb, VmSize=16936936kb, 1022.358555sec, 15564004163
66, 29, NAN, 17179869.26kb, 198.297480sec, RES=16779980kb, VmSize=16936936kb, 2072.738760sec, 34420547502
67, 29, NAN, 17179869.26kb, 202.892126sec, RES=16779980kb, VmSize=16936936kb, 1811.097589sec, 28979728279
68, 29, NAN, 17179869.26kb, 277.718624sec, RES=16779980kb, VmSize=16936936kb, 1829.489569sec, 27651326450
69, 29, NAN, 17179869.26kb, 199.714051sec, RES=16779980kb, VmSize=16936936kb, 3818.071317sec, 63765926204
70, 29, NAN, 17179869.26kb, 198.696735sec, RES=16779980kb, VmSize=16936936kb, 359.795586sec, 3021051151
71, 29, NAN, 17179869.26kb, 198.334047sec, RES=16779980kb, VmSize=16936936kb, 850.413618sec, 11840743788
72, 29, NAN, 17179869.26kb, 198.455115sec, RES=16779980kb, VmSize=16936936kb, 1709.925776sec, 27292771761
73, 29, NAN, 17179869.26kb, 196.577431sec, RES=16779980kb, VmSize=16936936kb, 2040.509353sec, 33355957072
74, 29, NAN, 17179869.26kb, 196.516285sec, RES=16779980kb, VmSize=16936936kb, 1276.996903sec, 19548569624
75, 29, NAN, 17179869.26kb, 197.148039sec, RES=16779980kb, VmSize=16936936kb, 613.453689sec, 7632493807
76, 29, NAN, 17179869.26kb, 277.776904sec, RES=16779980kb, VmSize=16936936kb, 390.670776sec, 2078829743
77, 29, NAN, 17179869.26kb, 277.583770sec, RES=16779980kb, VmSize=16936936kb, 592.307917sec, 5777623684
78, 29, NAN, 17179869.26kb, 199.642986sec, RES=16779980kb, VmSize=16936936kb, 1503.294418sec, 23710934680
79, 29, NAN, 17179869.26kb, 277.746590sec, RES=16779980kb, VmSize=16936936kb, 977.343879sec, 12772596792
80, 29, NAN, 17179869.26kb, 200.168369sec, RES=16779980kb, VmSize=16936936kb, 435.109046sec, 4320254929
